id,district,county,subcounty,location_id,code
201,rakai, kooki,kyalulangira,1257,T0rsCIZYnedq
202,rakai,kooki,lwamagwa,1272,xF1uXkNq3X6X
203,rakai,kooki,lwanda,1273,RV0zVyfx9oDx
204,rakai,kooki,rakai town council,1276,lRPI22bh3i43
205,rakai,kyotera,kabira,1017,3wwfGip5mQcc
206,rakai,kyotera,kalisizo,1262,uv6waT9XZPdV
207,rakai,kyotera,kalisizo town council,1263,21l3ENA6rYVD
208,rakai,kyotera,kasaali,1264,xvJTw8F6rpZZ
209,rakai,kyotera,kirumba,1268,E5p7FOU5fchs
210,rakai,kyotera,kyotera town council,1271,QvZr97Sdkdve
211,rakai,kyotera,lwankoni,1274,Mu8fPudiilEe
212,rakai,kyotera,nabigasa,1275,g5b9q1rDPR3k
213,ssembabule,lwemiyaga,lwemiyaga,1311,8U9LkCBVSCK7
214,ssembabule,lwemiyaga,ntusi,1315,U8dNodTOBjUd
215,ssembabule,mawogola,lugusulu,1309,WgWejmRu4lnn
216,ssembabule,mawogola,lwebitakuli,1310,I6dFfwIf2e1w
217,ssembabule,mawogola,mateete,1313,ERzdIClUCTaW
218,ssembabule,mawogola,mateete town council,1314,5xrD8pVaZatB
219,ssembabule,mawogola,mijwala,1312,6uJvDOjfLZ1T
220,ssembabule,mawogola,sembabule town council,1316,AhkgOez7mjMF
221,wakiso,busiro,bussi,1372,Tqt8vbEQh7aY
222,wakiso,busiro,kakiri,1377,Mp35n0aqMCWV
223,wakiso,busiro,kakiri town council,0,0
224,wakiso,busiro,kasanje,1378,VCZQEwdp20Qp
225,wakiso,busiro,katabi,1379,JbIuYYe33KPW
226,wakiso,busiro,masulita,1383,OHdj16tg3b3a
227,wakiso,busiro,masulita town council,1384,JPCjqWQreAwe
228,wakiso,busiro,mende,1385,ZE0H0beL8vQk
229,wakiso,busiro,namayumba,1387,btfqKovhZLc2
230,wakiso,busiro,namayumba town council,0,0
231,wakiso,busiro,nsangi,1390,TyXhjlgGKOS8
232,wakiso,busiro,ssisa,1394,fWpC1BV52KJB
233,wakiso,busiro,wakiso,1391,z0SqGGMab19L
234,wakiso,busiro,wakiso town council,1392,6w9Ztkck3LQ8
235,wakiso,entebbe mc,division a,0,0
236,wakiso,entebbe mc,division b,0,0
237,wakiso,kyadondo,busukuma,1373,YPMFmj3QQ0sN
238,wakiso,kyadondo,gombe,0,0
239,wakiso,kyadondo,kira town council,1380,OQ3bdrlxtJUc
240,wakiso,kyadondo,makidye-ssabagabo,1382,HSdvtwv7cPJH
241,wakiso,kyadondo,nabweru,1386,9rpXJ3SKM4sd
242,wakiso,kyadondo,nangabo,1388,Pwti7CsoHKOj
243,wakiso,kyadondo,nansana town council,1389,DlyljXE6qjcj
244,amuria,amuria,abarilela,176,JSPmfSLxvrdc
245,amuria,amuria,akeriau,178,SYiZ6MsT53Od
246,amuria,amuria,amuria town council,180,wap5WKNmVC4r
247,amuria,amuria,apeduru,181,DsbRZcXjOIfH
248,amuria,amuria,asamuk,182,WvAWyCmVrFkk
249,amuria,amuria,kuju,184,Ncd9hCBOyJgj
250,amuria,amuria,morungatuny,185,VMAqQYEyuZel
251,amuria,amuria,ogolai,187,ajKdWVB9uePh
252,amuria,amuria,orungo,189,5gVWSPnVqSgb
253,amuria,amuria,wera,190,xuqGP88vBgMS
254,amuria,amuria,willa,0,0
255,amuria,kapelebyong,acowa,177,XeAt991xsOcJ
256,amuria,kapelebyong,akoromit,179,Lg9dYCZTN7i2
257,amuria,kapelebyong,kapelebyong,183,ImOwZU7pWdE5
258,amuria,kapelebyong,obalanga,186,YL08sOVUsMQq
259,amuria,kapelebyong,okungur,188,o08k6pRIWx3A
260,budaka,budaka,budaka,237,mhiJUIcQoXDB
261,budaka,budaka,budaka town council,238,hLvpVdG8xHEn
262,budaka,budaka,kachomo,240,J9RSJiDViAPS
263,budaka,budaka,kaderuna,241,Rkx7ehSnRiFa
264,budaka,budaka,kakule,242,tGY8YAwMnRYt
265,budaka,budaka,lyama,246,HnQBJ032iDV9
266,budaka,budaka,naboa,248,rx80GxowUTQ2
267,budaka,budaka,nansanga,249,ItzVc81PgkfU
268,budaka,iki iki,iki-iki,239,DVxOJP3nNghV
269,budaka,iki iki,kameruka,243,VlsoaR8WWRak
270,budaka,iki iki,kamonkoli,244,R9HWRcEYNEec
271,budaka,iki iki,katiira,245,9i090RAOiB8L
272,budaka,iki iki,mugiti,247,qGgGDKN0mzXa
273,bududa,manjiya,bubiita.,250,zHJvEfzCJQTd
274,bududa,manjiya,bududa town council.,252,blSidE5CrSqr
275,bududa,manjiya,bududa.,251,rEYM3U3x4juD
276,bududa,manjiya,bukalasi.,253,6GMvdY9CydI2
277,bududa,manjiya,bukibokolo,254,9H3HSe4nGnIU
278,bududa,manjiya,bukigai,255,Rxyx0g4ZLRfI
279,bududa,manjiya,bulukecheke,256,UBj0Vwh5Cuij
280,bududa,manjiya,bumasheti,257,9bQVswnzLAQB
281,bududa,manjiya,bumayoka.,258,btlVoTxCOh0z
282,bududa,manjiya,bushika,259,YNAvbX5aRP32
283,bududa,manjiya,bushiribo,260,laO6DxUmm6th
284,bududa,manjiya,bushiyi,261,Bcl7y1eAFKIJ
285,bududa,manjiya,buwali.,262,rpfDgJtrpa6M
286,bududa,manjiya,nabweya,263,RJvKySeyxgdf
287,bududa,manjiya,nakatsi,264,jHNGgJrJU0c4
288,bududa,manjiya,nalwanza,265,VEHn8zZAYr60
289,bugiri,bukooli (north),budhaya,0,0
290,bugiri,bukooli (north),bugiri town council,0,0
291,bugiri,bukooli (north),bulesa,0,0
292,bugiri,bukooli (north),bulidha,0,0
293,bugiri,bukooli (north),buluguyi,0,0
294,bugiri,bukooli (north),buwunga,0,0
295,bugiri,bukooli (north),iwemba,0,0
296,bugiri,bukooli (north),kapyanga,0,0
297,bugiri,bukooli (north),muterere,0,0
298,bugiri,bukooli (north),nabukalu,0,0
299,bugiri,bukooli (north),nankoma,0,0
300,bukedea,bukedea,bukedea,1431,MmykjdKKZbwL
301,bukedea,bukedea,bukedea town council,1432,8YAvLPc9ha5P
302,bukedea,bukedea,kachumbala,1433,MNua0UPMxlgG
303,bukedea,bukedea,kidongole,1434,C65DHlZd9kni
304,bukedea,bukedea,kolir,1435,ga7Wj0q1qqk3
305,bukedea,bukedea,malera,1436,iK9VZtfcxfEK
306,bukwo,kongasis,bukwo,1437,6PXrWhnIx8yh
307,bukwo,kongasis,bukwo town council,1438,eSBuiyXfglU9
308,bukwo,kongasis,chepkwasta,1439,gJktROYT8DKd
309,bukwo,kongasis,chesower,1440,RacdK1rhumT9
310,bukwo,kongasis,kabei,1441,Ys3SeJ8punph
311,bukwo,kongasis,kamet,1442,YIQhOx7fFo8K
312,bukwo,kongasis,kaptererwo,1443,3yT6f4Ty92yS
313,bukwo,kongasis,kortek,1444,XlW7y3Ax0TZT
314,bukwo,kongasis,riwo,1445,vu0XgVdsWOh5
315,bukwo,kongasis,senendet,1446,cXXmZkZGQEi6
316,bukwo,kongasis,suam,1447,tfAF3M7YvtHh
317,bukwo,kongasis,tulel,1448,uxU20tGKcz6v
318,bulambuli,bulambuli,buginyanya,279,wfZdOYf5PVNF
319,bulambuli,bulambuli,bukhalu,280,9uilWgSUD26J
320,bulambuli,bulambuli,bulaago,281,8psd4sSjfsVz
321,bulambuli,bulambuli,bulambuli town council,282,H1jl5sPR7RWL
322,bulambuli,bulambuli,bulegeni,283,yNPb1nGOnQ0D
323,bulambuli,bulambuli,bulegeni town council,284,yXRrI1iNwHHS
324,bulambuli,bulambuli,buluganya,285,oCLCkxriw9kM
325,bulambuli,bulambuli,bumasobo,286,xfGLydi1hW9r
326,bulambuli,bulambuli,bumugibole,278,g44UkhnF0PE3
327,bulambuli,bulambuli,bunambutye,287,dp4DuNybct4e
328,bulambuli,bulambuli,bwikhonge,288,KNYfLSdWzqzC
329,bulambuli,bulambuli,kamu,289,ZcqyRaW3VibB
330,bulambuli,bulambuli,lusha,290,VLrXpptMOjkz
331,bulambuli,bulambuli,masiira,291,1h7iqvnnW4yB
332,bulambuli,bulambuli,muyembe,292,YIUt3cusCNbK
333,bulambuli,bulambuli,nabongo,293,olydI4WJIXW7
334,bulambuli,bulambuli,namisuni,294,H9oZdLQh5CSh
335,bulambuli,bulambuli,simu,295,BmCQM6KfhWSN
336,bulambuli,bulambuli,sisiyi,296,RHDA6tKL4eFt
337,busia,busia mc,eastern division,338,5vGJCn6ai8Kn
338,busia,busia mc,western division,347,15nH3tbcn0on
339,busia,samia-bugwe,buhehe,331,VrpM75nKodgf
340,busia,samia-bugwe,bulumbi,332,dtMyWaLXOJHp
341,busia,samia-bugwe,busime,333,tSgeuYEt5O3o
342,busia,samia-bugwe,busitema,334,nH4DY6heAnDG
343,busia,samia-bugwe,buteba,335,pJfkPdb5DPDe
344,busia,samia-bugwe,buyanga,336,it7IFdcVJ24j
345,busia,samia-bugwe,dabani,337,81hJtO54BSV1
346,busia,samia-bugwe,lumino,339,2ihoV60wpbAP
347,busia,samia-bugwe,lunyo,340,aeM0UHkR2gUz
348,busia,samia-bugwe,majanji,341,efrEb6CXr3fW
349,busia,samia-bugwe,masaba,342,RrnKU0rYIGtf
350,busia,samia-bugwe,masafu,343,g4kcrD23s5Wp
351,busia,samia-bugwe,masinya,344,1PpcyWVXV37d
352,busia,samia-bugwe,sikuda,346,3MEhu16tyseK
353,butaleja,bunyole,budumba,348,6xf2URXFKQKr
354,butaleja,bunyole,busaba,349,0B4idKAdurM6
355,butaleja,bunyole,busabi,350,gvwJlp0aEZ6q
356,butaleja,bunyole,busolwe,351,sFQ4Lqup8WAW
357,butaleja,bunyole,busolwe town council,352,9tiONQn9X6zK
358,butaleja,bunyole,butaleja,353,3L54emHIzH07
359,butaleja,bunyole,butaleja town council,354,JnLaTbGp5WSF
360,butaleja,bunyole,himutu,355,A3EUI9nq7eNQ
361,butaleja,bunyole,kachonga,356,1rk4ThprwJ9b
362,butaleja,bunyole,mazimasa,357,FTwSSjsksMxX
363,butaleja,bunyole,nawanjofu,358,fFHaIIQDzP0b
364,butaleja,bunyole,naweyo,359,gGoMNSf82nGu
365,buyende,budiope,bugaya,371,X94PlefJaou6
366,buyende,budiope,buyende,372,69ORwkk1LkHe
367,buyende,budiope,buyende town council,373,6pWj5bQc6ob8
368,buyende,budiope,kagulu,374,ThyHIEYQWfcj
369,buyende,budiope,kidera,375,E9PNy8gK2akX
370,buyende,budiope,nkondo,376,mGYBtTEu72Lj
371,iganga,bugweri,busembatia town council,443,OMRNyIXcJ73u
372,iganga,bugweri,buyanga,336,it7IFdcVJ24j
373,iganga,bugweri,ibulanku,446,rpFobQx3QxeJ
374,iganga,bugweri,igombe,447,fdysZ9fRklUZ
375,iganga,bugweri,makuutu,448,AL5JLVdqX4IU
376,iganga,bugweri,namalemba,452,VD3lQFuGYK3m
377,iganga,iganga mc,central division,321,eDN4sc951Y4s
378,iganga,iganga mc,northern division,457,cn6eO9TX3LGY
379,iganga,kigulu,bulamogi,0,0
380,iganga,kigulu,nabitende,449,uAo4hPJafF2j
381,iganga,kigulu,nakalama,450,CdA3g7Uak68Q
382,iganga,kigulu,nakigo,451,kHXQp4A3qhIV
383,iganga,kigulu,nambale,453,Qr5vhsoQvY6t
384,iganga,kigulu,namungalwe,454,17Yaf1dsY7QI
385,iganga,kigulu,nawandala,455,czyvRT2BRcdu
386,iganga,kigulu,nawanyingi,456,YOBOxUZGtDfL
387,jinja,butembe,bugembe town council,475,s3GpIWlQznrl
388,jinja,butembe,busedde,476,kTL7fYNfzWBq
389,jinja,butembe,kakira town council,483,o7LiLce7ri82
390,jinja,butembe,mafubira,484,VuZY85qZPCK6
391,jinja,jinja mc,jinja central division,482,BmkvDOBXGz9U
392,jinja,jinja mc,kimaka/mpumudde/nalufenya division,485,JdthtL1ThMN2
393,jinja,jinja mc,masese/walukuba division,486,PcUJEDxVhhlV
394,jinja,kagoma,budondo,474,c70suzqrcPvL
395,jinja,kagoma,butagaya,477,n4aB0syJT1xN
396,jinja,kagoma,buwenge,478,YiHjuHizdXEP
397,jinja,kagoma,buwenge town council,479,vWvKF8BG4nws
398,jinja,kagoma,buyengo,480,VeReIEdJj95T
399,kaberamaido,kaberamaido,alwa,534,Vi1DCbez5z1w
400,kaberamaido,kaberamaido,aperikira,537,hKN1oDOujMtK
401,kaberamaido,kaberamaido,kaberamaido,539,jkSwR2ILefrm
402,kaberamaido,kaberamaido,kaberamaido town council,540,5RpJAJQofyiy
403,kaberamaido,kaberamaido,kobulubulu,543,VD28XDQeTZvP
404,kaberamaido,kaberamaido,ochero,544,o9djdVPIaoMT
405,kaberamaido,kalaki,anyara,535,7TZjBI3HtVc2
406,kaberamaido,kalaki,apapai,536,9gw73elJQ4ZI
407,kaberamaido,kalaki,bululu,538,OU4a27fdNOLA
408,kaberamaido,kalaki,kakure,541,s22aXWjV3tDW
409,kaberamaido,kalaki,kalaki,542,g7vzB2JMwR6r
410,kaberamaido,kalaki,otuboi,545,5wiXUNpd3Idk
411,kaliro,bulamogi,bumanya,63545,ZmgcEuD4UJXA
412,kaliro,bulamogi,gadumire,63547,xzYfm93CG4wK
413,kaliro,bulamogi,kaliro town council,63548,iX1MhCaEX90p
414,kaliro,bulamogi,namugongo,63551,wb86Nu84eelT
415,kaliro,bulamogi,namwiwa,63552,WDxgJpHDga0c
416,kaliro,bulamogi,nawaikoke,63554,ezqOsNZT32XG
417,kamuli,bugabula,balawoli,577,m73p8MpobyX5
418,kamuli,bugabula,bulopa,0,0
419,kamuli,bugabula,butansi,579,KOKlo5uhF7LS
420,kamuli,bugabula,kamuli town council,580,iJ9JEjcASCRD
421,kamuli,bugabula,kitayunjwa,582,BEOL3pUpr046
422,kamuli,bugabula,nabwigulu,584,gduIZ1eVu2Mi
423,kamuli,bugabula,namasagali,585,4qgGhOTzdKo9
424,kamuli,bugabula,namwendwa,586,vWasBSG45PeC
425,kamuli,buzaaya,bugulumbya,578,5Z8OuLvwWgEw
426,kamuli,buzaaya,kisozi,581,TDU2XcgA7MBa
427,kamuli,buzaaya,mbulamuti,583,laKbizQKIgKD
428,kamuli,buzaaya,nawanyago,587,wYQzGXA9CMXn
429,kamuli,buzaaya,wankole,588,x7x7czX8xyBC
430,kapchorwa,tingey,amukol,623,dJAlmL2ekL77
431,kapchorwa,tingey,chema,624,pM4KbQLo28gK
432,kapchorwa,tingey,chepteret,625,gpl58INUehr1
433,kapchorwa,tingey,gamogo,626,TxFi7RMFh1Tc
434,kapchorwa,tingey,kabeywa,627,CgczA0TKwBts
435,kapchorwa,tingey,kapchesombe,628,gnn2tut8D3pS
436,kapchorwa,tingey,kapchorwa town council,629,5H9T7qrKbijx
437,kapchorwa,tingey,kapsinda,630,BjwveJURmOgM
438,kapchorwa,tingey,kaptanya,631,5bhgLLRmssjc
439,kapchorwa,tingey,kapteret,632,Sk6S5o7n7lIk
440,kapchorwa,tingey,kaserem,633,W1StKWhtF2nx
441,kapchorwa,tingey,kawowo,634,PTcMGUUwwCax
442,kapchorwa,tingey,munarya,635,ZUq4pwYnTYAn
443,kapchorwa,tingey,sipi,636,2Ir7U6lF8X2v
444,kapchorwa,tingey,tegeres,637,6MaU0os0M1xo
445,katakwi,toroma,kapujan,669,UYHjoRXyAnTb
446,katakwi,toroma,magoro,672,nao9y1AHXIkr
447,katakwi,toroma,omodoi,674,7dHkv2PhWpVx
448,katakwi,toroma,toroma,677,3kgXncnsGXN9
449,katakwi,usuk,katakwi,670,Z2aGbSutEK0o
450,katakwi,usuk,katakwi town council,671,y6c60sM648SJ
451,katakwi,usuk,ngariam,673,0niCycNzOuR6
452,katakwi,usuk,ongongoja,675,7AvNwO0Ktkxd
453,katakwi,usuk,palam,676,bQPTU6HuHWuZ
454,katakwi,usuk,usuk,678,XP7AprVktKd2
455,kibuku,kibuku,bulangira,0,0
